459763171352272896,1229220074,#3rdAnniversaryXOIX,97,145,,Fri Apr 25 18:37:36 +0000 2014,RT @ZonaHEBAT: BREAKING NEWS: Mantan pelatih Barcelona Tito Vilanova meninggal dunia di usia 45 tahun. http://t.co/sD5cCmRKuG
459763171881152513,2340740167,Minecraft/Tenis luv,20,78,,Fri Apr 25 18:37:36 +0000 2014,"#forcaTito @barcelona I'm real sorry for you're lose :( . Tito thank you for everything, you are now in a better place"
459763172098850817,278518155,Instagram @MANLURGE,447,289,West Central Africa,Fri Apr 25 18:37:36 +0000 2014,Ex Barcelona Coach Tito Vilanova Dies At 45 http://t.co/W1PTFi7eJC via @NaijaWhistle
459763172363472896,38840421,Bram Weerts,14614,4609,Amsterdam,Fri Apr 25 18:37:36 +0000 2014,RT @FCBarcelona: The FC Barcelona is in immense mourning. Tito Vilanova has died at the age of 45. May he rest in peace
459763172166369280,399599265,FRANIN,363,323,Greenland,Fri Apr 25 18:37:36 +0000 2014,"RT @SaulGranda41: No hace falta ser seguidor del Barcelona, para saber que el fútbol a parte de rivalidad es fuerza, es… http://t.co/OQ02mK…"
459763172551827456,368343456,EveryThingUneed2Know,9568,254,West Central Africa,Fri Apr 25 18:37:36 +0000 2014,VANGUARD NEWSPAPER: Ex-Barcelona coach Tito Vilanova dies at 45 http://t.co/6TlzGH9lTg
459763172820258816,2161918032,Autonetclub ANC,147,337,,Fri Apr 25 18:37:37 +0000 2014,Mantan pelatih Barcelona Tito Vilanova meninggal dunia menyusul perjuangannya melawan kanker yang memaksanya b... http://t.co/OA3MRVPWCh
459763172598378496,1375198268,albelape,13,32,,Fri Apr 25 18:37:37 +0000 2014,"RT @FCBarcelona: Tito Vilanova, a life dedicated to FC Barcelona http://t.co/XIk87Elv4D"
459763173441028096,242328476,Dody Saputra,232,139,Alaska,Fri Apr 25 18:37:37 +0000 2014,RT @ZonaHEBAT: BREAKING NEWS: Mantan pelatih Barcelona Tito Vilanova meninggal dunia di usia 45 tahun. http://t.co/sD5cCmRKuG
459763173780774912,1414408056,Ashari,60,34,Bangkok,Fri Apr 25 18:37:37 +0000 2014,RT @ManUtd_IDfans: Turut berduka cita atas meninggalnya Tito Vilanova mantan pelatih Barcelona. #RIPTitoVilanova
459763173978284032,588530807,IG: TRIXXAHOEE_,327,314,,Fri Apr 25 18:37:37 +0000 2014,RT @WorldSportCNN: Barcelona is in mourning after former coach Tito Vilanova's death at the age of 45 http://t.co/OOjDGRBGbN #fcb http://t.…
459763174032834560,1216221067,Corey Evans,208,962,,Fri Apr 25 18:37:37 +0000 2014,"RT @FCBarcelona: Tito Vilanova, a life dedicated to FC Barcelona http://t.co/9UjfYoWGoH #TitoEtern http://t.co/iNl3iry7I5"
459763174355775488,1228224866,Paulina Rosa,14,159,,Fri Apr 25 18:37:37 +0000 2014,@MadridistaLuv https://t.co/eN3iDTJl4S  Like?? :D :*
459763174556708864,331697127,FebryGunawaan,652,450,Jakarta,Fri Apr 25 18:37:37 +0000 2014,"@herdy_anggra RT ""@Madrid_IndoJKT: #LaLiga Jornada 37 | Valladolid vs Real Madrid | Kamis, 8 Mei 2014 | 02:00 WIB | #halamadrid"
459763175156498432,2382293534,اســيـ♥♥ـل العتيبيے,434,28,,Fri Apr 25 18:37:37 +0000 2014,RT @ntvde: Schock für die Fußballwelt: Ex-Barcelona Trainer Vilanova gestorben http://t.co/cRJqHOOwZd
